個[こ] 人[じん] 情[じょう] 報[ほう],コジンジョウホウ,个人信息
ハンドルを 切[き] る,キル[ハンドルヲ〜],打方向盘
スリップ[する],,（轮胎）打滑
ひざ,,膝盖
ライト,,车灯
カバー,,（摩托车的灯）罩
はねる,ハネル[ヒトヲ〜],撞上、碰撞
人[ひと] をはねる,ハネル[ヒトヲ〜],撞上人
頭[あたま] [が] 痛[いた] い,アタマ[ガ]イタイ,伤脑筋、烦心
くよくよ[する],クヨクヨ[する],闷闷不乐
おごる,オゴル,请客、招待
締[し] め 切[き] り,シメキリ[ビ],截止
締[し] め 切[き]り 日[び],シメキリ[ビ],截止日期
よそ 見[み],ヨソミ,东张西望
右[みぎ] 手[て],ミギテ,右手
離[はな] す,ハナス[メヲ〜],离开
目[め] を 離[はな] す,ハナス[メヲ〜],移开视线
誤[あや] る,アヤマル,弄错、犯错
入[にゅう] 力[りょく][する],ニュウリョク[する],（文字）输入、录入
プリントアウト[する],プリントアウト[する],打印出来
俺[おれ],オレ,（男子对晚辈或同辈等自称）我、俺、老子
バカ,バカ,笨蛋
やり 直[なお] し,ヤリナオシ,重新做
油[あぶら],アブラ,油
ひっくり 返[かえ] す,ヒックリカエス,打翻
マット,マット,门垫、地垫
べとべと,ベトベト,黏糊糊
つく,[ヒガ〜],点着
火[ひ] がつく,[ヒガ〜],着火
見[み] 方[かた],ミカタ,看法
骨[こっ] 折[せつ][する],コッセツ[する],骨折
うまくいく,ウマクイク,进展顺利、成功
まいったなあ,マイッタナー,真糟糕啊、受不了啊、真惨啊
ひどい,ヒドイ,厉害、过分
開[かい] 発[はつ][する],カイハツ[する],开发
要[よう] 求[きゅう][する],ヨウキュウ[する],要求
改[あらた] める,アラタメル,修改
従[したが] う,シタガウ,遵从
急[きゅう] 激[げき][な],キュウゲキ[ナ],急剧[的]
ATM,エーティーエム,ATM存取款机
とどまる,トドマル,限于、止于
少[しょう] 子[し] 高[こう] 齢[れい] 化[か],ショウシコウレイカ,出生率低且老龄化
高[こう] 齢[れい] 化[か],コウレイカ,老龄化
活[かつ] 力[りょく],カツリョク,活力
業[ぎょう] 界[かい],ギョウカイ,同行界、同业界
需[じゅ] 要[よう],ジュヨウ,需要
新[しん] 人[じん],シンジン,新人
挑[ちょう] 戦[せん][する],チョウセン[する],挑战
消[しょう] 費[ひ] 税[ぜい],ショウヒゼイ,消费税
備[そな] える,ソナエル,防备、有备于
カリキュラム,カリキュラム,课程
見[み] 直[なお] す,ミナオス,重新考虑
年[ねん] 末[まつ],ネンマツ,年末、年底
時[じ] 期[き],ジキ,时节、季节、时期
予[よ] 測[そく][する],ヨソク[する],预测
避[ひ] 難[なん][する],ヒナン[する],避难
突[とつ] 然[ぜん],トツゼン,突然
歓[かん] 迎[げい][する],カンゲイ[する],欢迎
決[けっ] 勝[しょう] 戦[せん],ケッショウセン,决赛
〜 戦[せん],〜セン,……赛
出[しゅつ] 場[じょう][する],シュツジョウ[する],出场、上场
高[こう] 齢[れい],コウレイ,高龄
当[とう] 然[ぜん],トウゼン,当然、应该
長[ちょう] 期[き],チョウキ,长期
追[お] う,オウ,追、追捕
住[じゅう] 人[にん],ジュウニン,当地居民
立[た] ち 上[あ] げる,タチアゲル,建立、开设
高[こう] 速[そく] 道[どう] 路[ろ],コウソクドウロ,高速公路
無[む] 料[りょう] 化[か],ムリョウカ,取消收费
引[ひ] き 下[さ] げる,ヒキサゲル,降低
オリンピック,,奥林匹克运动会
出[しゅつ] 場[じょう] 権[けん],シュツジョウケン,参赛资格、参赛权
〜 権[けん],〜ケン,……权、……资格
手[て] に する,テニスル,拿在手中
身[み] 分[ぶん] 証[しょう] 明[めい] 書[しょ],ミブンショウメイショ,身份证
身[み] 分[ぶん],ミブン,身份
証[しょう] 明[めい] 書[しょ],ショウメイショ,证明书
といあわせる,トイアワセル,咨询、询问
ネット,,网络
満[まん] 席[せき],マンセキ,客满
提[てい] 出[しゅつ][する],テイシュツ[する],提交
電[でん] 気[き] 料[りょう] 金[きん],デンキリョウキン,电费
〜 料[りょう] 金[きん],〜リョウキン,……费
思[おも] わず,オモワズ,情不自禁地、不由地
燃[も] え 移[うつ] る,モエウツル,(火)延烧
左[ひだり] 手[て],ヒダリテ,左手
すとんと〜,,扑通一声[〜落ちる/一声掉下去]
必[ひっ] 死[し][ニ],ヒッシ[ニ],拼命地、一个劲儿地
ひっぱり 上[あ] げる,ヒッパリアゲル,拽上来、往上拽
無[ぶ] 事[じ],ブジ,平安、安然无恙
引[ひ] き 上[あ] げる,ヒキアゲル,拉上来
きょとんと〜,,愣住、发呆
たった,,仅仅、只
占[うら] い,ウラナイ,占卜、算命
[delete]リストラ[する],,裁员、（企业）重组
リストラ[する],,裁员、（企业）重组
契[けい] 約[やく] 社[しゃ] 員[いん],ケイヤクシャイン,合同工
まさか,,果真（……吗），难道（……吗）
気[き] 分[ぶん] 転[てん] 換[かん],キブンテンカン,调节心情、转换心情
チャンス,,机会
ウェブサイト,,网站
不[ふ] 正[せい] 使[し] 用[よう],フセイシヨウ,不正当使用
被[ひ] 害[がい] 額[がく],ヒガイガク,受损金额
〜 額[がく],〜ガク[ヒガイ〜],……金额
被[ひ] 害[がい] 額[がく],〜ガク[ヒガイ〜],受损金额
〜 当[あ] たり,アタリ[ヒトリ〜],……平均
一[ひと] 人[り] 当[あ]たり,アタリ[ヒトリ〜],人均……
金[きん] 銭[せん],キンセン,金钱
失[うしな] う,ウシナウ,失去、损失
在[ざい] 住[じゅう][する],ザイジュウ[する],现居住在……
フリーメール,,免费邮箱
不[ふ] 明[めい],フメイ,不明
送[そう] 信[しん][する],ソウシン[する],发送邮件
築[きず] く,キズク,建立[信赖を〜／建立信赖关系]
強[ごう] 盗[とう],ゴウトウ,强盗
〜 宛[あて],〜アテ[ユウジン〜],寄往……
友[ゆう] 人[じん] 宛[あて],〜アテ[ユウジン〜],寄给朋友
〜 帳[ちょう],〜チョウ,……本
売[ばい] 買[ばい][する],バイバイ[する],买卖
大[たい] 量[りょう],タイリョウ,大量
捕[つか] まる,ツカマル,逮捕、抓捕
あーあ。〜ばよかった。,,要是……的话，就好了。（表示后悔）
[delete]あーあ。〜ばよかった。,,要是……的话，就好了。（表示后悔）
泣[な] き た い 気[き] 分[ぶん] だ よ。,,啊，都闷得想哭。（传达消沉的心情）
くよくよ しないで。,,别那么垂头丧气了。（安慰他人时的用语）
…だけでも よかった じゃない。 不[ふ] 幸[こう] 中[ちゅう] の 幸[さいわ] い だ よ。,,只要……也可以呀，这已经是不幸中的万幸了。（安慰他人时的用语，表示情况并没有特别糟糕）
[delete]…だけでも よかった じゃない。 不[ふ] 幸[こう] 中[ちゅう] の 幸[さいわ] い だ よ。,,只要……也可以呀，这已经是不幸中的万幸了。（安慰他人时的用语，表示情况并没有特别糟糕）
…た と 思[おも] え ば 〜 じゃない です か。,,就当成……，不就好了吗。（遇到不好的情况时，换个角度考虑，坏事就变成了好事。安慰他人时的用语）
ものは 考[かんが]えようですよ。, ,(这件事) 要看你怎么去想了（安慰他人时用语）。
東[とう] 南[なん] アジア,トウナンアジア,东南亚
メジャーリーグ,メジャーリーグ,美国职业棒球大联盟（MLB）：由美国及加拿大棒球队组成的北美一流职业棒球联盟。
東[とう] 京[きょう] スカイツリー,トウキョウスカイツリー,东京晴空塔：位于东京都墨田区的一个电波发射塔；2012年开始运营并取代原东京塔的作用。被吉尼斯世界纪录认证为“世界第一高塔”，高度为634米。
ダイアン 吉[きち] 日[じつ],ダイアンキチジツ,大安吉日（Diane Kichijitsu）：落语（日本单口相声）演员，英国人。
幸[さいわ] い,サイワイ,幸运
苦[にが] い 体[たい] 験[けん],ニガイ[〜タイケン],痛苦的经历
預[よ] 金[きん] 口[こう] 座[ざ],ヨキン[〜コウザ],存款帐户
及[およ] ぶ,オヨブ,涉及，达到
情[じょう] 報[ほう] 管[かん] 理[り],ジョウホウカンリ,信息管理
犯[はん] 行[こう],ハンコウ,犯罪行为
見[み] 出[だ] し,ミダシ,(报刊的)大标题
言[い] い 表[あらわ] す,イイアラワス,语言表达
事[じ] 故[こ] を 起[お] こす,オコス[ジコヲ〜],肇事、引起交通事故
少[しょう] 子[し] 化[か],ショウシカ,少子化，孩子越来越少
予[よ] 算[さん],ヨサン,预算
訪[ほう] 問[もん][する],ホウモン[する],访问
上[じょう] 達[たつ][する],ジョウタツ[する],有进步、有长进
気[け] 配[はい],ケハイ,迹象、征兆
呼[よ] び かける,ヨビカケル,号召、呼吁
不[ふ] 要[よう][な],フヨウ[ナ],不需要[的]
安[あん] 定[てい][する],アンテイ[する],稳定
創[そう] 作[さく][する],ソウサク[する],创作、写作
出[しゅっ] 国[こく][する],シュッコク[する],出国
アドレス 帳[ちょう],〜チョウ,通讯录
マドリード,マドリード,马德里
